"INCIDENT_ID","MULTIPLE_OFFENSE"
"CR_195453","X1"
"CR_103520","X1"
"CR_196089","X1"
"CR_112195","X1"
"CR_149832","X1"
"CR_81654","X1"
"CR_139009","X1"
"CR_6108","X1"
"CR_62283","X1"
"CR_5710","X1"
"CR_188972","X1"
"CR_74490","X1"
"CR_21774","X1"
"CR_82685","X1"
"CR_188343","X1"
"CR_104212","X1"
"CR_49142","X1"
"CR_7923","X1"
"CR_106361","X0"
"CR_153593","X1"
"CR_70128","X1"
"CR_177912","X1"
"CR_119901","X1"
"CR_35246","X1"
"CR_149719","X1"
"CR_99068","X1"
"CR_137684","X1"
"CR_151347","X1"
"CR_59238","X1"
"CR_78703","X1"
"CR_14980","X1"
"CR_159224","X1"
"CR_116795","X1"
"CR_169853","X1"
"CR_77607","X1"
"CR_72161","X1"
"CR_7589","X1"
"CR_73678","X1"
"CR_48947","X1"
"CR_38884","X1"
"CR_132634","X0"
"CR_20524","X1"
"CR_129183","X1"
"CR_127437","X0"
"CR_179077","X1"
"CR_141431","X1"
"CR_135001","X1"
"CR_108962","X1"
"CR_114858","X1"
"CR_179765","X1"
"CR_110903","X1"
"CR_2596","X1"
"CR_193843","X1"
"CR_107764","X1"
"CR_106761","X1"
"CR_156146","X1"
"CR_25741","X1"
"CR_19406","X1"
"CR_52821","X1"
"CR_141663","X1"
"CR_84643","X1"
"CR_9998","X1"
"CR_15173","X1"
"CR_150569","X1"
"CR_44321","X1"
"CR_12480","X1"
"CR_49884","X1"
"CR_16536","X1"
"CR_135867","X1"
"CR_16960","X1"
"CR_94521","X1"
"CR_47185","X0"
"CR_64477","X1"
"CR_9255","X1"
"CR_239","X1"
"CR_36246","X1"
"CR_167882","X1"
"CR_122832","X1"
"CR_107228","X1"
"CR_191070","X1"
"CR_111200","X1"
"CR_138988","X1"
"CR_76254","X1"
"CR_49626","X1"
"CR_136496","X1"
"CR_74857","X1"
"CR_25788","X1"
"CR_96972","X1"
"CR_128167","X1"
"CR_125194","X1"
"CR_196935","X1"
"CR_99124","X1"
"CR_47713","X1"
"CR_17468","X1"
"CR_52768","X1"
"CR_174153","X1"
"CR_181473","X1"
"CR_170055","X1"
"CR_70646","X1"
"CR_139733","X0"
"CR_68496","X1"
"CR_133719","X1"
"CR_149802","X1"
"CR_129628","X1"
"CR_21702","X1"
"CR_184395","X0"
"CR_112847","X1"
"CR_22950","X1"
"CR_4640","X1"
"CR_91832","X1"
"CR_69086","X0"
"CR_90314","X1"
"CR_102226","X0"
"CR_44421","X1"
"CR_91539","X0"
"CR_125712","X1"
"CR_39129","X1"
"CR_166473","X1"
"CR_146268","X1"
"CR_198777","X1"
"CR_19913","X1"
"CR_95693","X1"
"CR_58748","X1"
"CR_120175","X1"
"CR_47383","X1"
"CR_88778","X0"
"CR_45122","X1"
"CR_118555","X1"
"CR_47590","X1"
"CR_56241","X1"
"CR_49686","X1"
"CR_158363","X1"
"CR_49055","X1"
"CR_78381","X1"
"CR_46364","X1"
"CR_89127","X1"
"CR_95911","X1"
"CR_30684","X1"
"CR_110272","X0"
"CR_152101","X1"
"CR_101301","X1"
"CR_10824","X1"
"CR_81174","X0"
"CR_77056","X1"
"CR_104657","X1"
"CR_190935","X1"
"CR_39743","X1"
"CR_97082","X1"
"CR_165452","X1"
"CR_27138","X1"
"CR_44846","X1"
"CR_66139","X1"
"CR_5245","X1"
"CR_58451","X1"
"CR_44466","X1"
"CR_95959","X1"
"CR_40668","X1"
"CR_106009","X1"
"CR_162976","X1"
"CR_39335","X1"
"CR_130604","X1"
"CR_41350","X1"
"CR_90100","X1"
"CR_17889","X1"
"CR_79035","X1"
"CR_43740","X1"
"CR_125043","X1"
"CR_114036","X1"
"CR_18004","X1"
"CR_40538","X1"
"CR_30715","X1"
"CR_53954","X1"
"CR_134044","X1"
"CR_63130","X1"
"CR_195514","X1"
"CR_28019","X1"
"CR_31473","X1"
"CR_114806","X1"
"CR_156949","X1"
"CR_135875","X1"
"CR_96923","X1"
"CR_46274","X1"
"CR_136824","X1"
"CR_102548","X1"
"CR_61295","X1"
"CR_54333","X1"
"CR_181366","X0"
"CR_478","X1"
"CR_22255","X1"
"CR_8080","X1"
"CR_65094","X1"
"CR_5348","X1"
"CR_158706","X0"
"CR_132171","X1"
"CR_52132","X1"
"CR_79181","X1"
"CR_180362","X1"
"CR_97701","X1"
"CR_49066","X1"
"CR_136125","X0"
"CR_27624","X1"
"CR_163466","X1"
"CR_139394","X0"
"CR_153806","X1"
"CR_19155","X1"
"CR_80399","X1"
"CR_159100","X1"
"CR_120631","X0"
"CR_3246","X1"
"CR_50256","X1"
"CR_131299","X1"
"CR_128051","X1"
"CR_152957","X1"
"CR_137814","X1"
"CR_67954","X1"
"CR_50322","X1"
"CR_23362","X0"
"CR_186381","X1"
"CR_187161","X1"
"CR_2108","X1"
"CR_83500","X1"
"CR_80221","X1"
"CR_170586","X1"
"CR_35301","X1"
"CR_56767","X1"
"CR_171642","X1"
"CR_84749","X1"
"CR_161306","X1"
"CR_40438","X1"
"CR_184623","X0"
"CR_95950","X0"
"CR_101457","X1"
"CR_35864","X1"
"CR_100687","X1"
"CR_2884","X1"
"CR_76955","X1"
"CR_98414","X1"
"CR_118497","X1"
"CR_63131","X0"
"CR_180403","X1"
"CR_56147","X1"
"CR_57569","X1"
"CR_65960","X1"
"CR_18205","X1"
"CR_150635","X1"
"CR_36543","X1"
"CR_10878","X1"
"CR_11360","X1"
"CR_106520","X0"
"CR_162196","X1"
"CR_91451","X1"
"CR_134343","X1"
"CR_131575","X1"
"CR_32260","X1"
"CR_36265","X1"
"CR_64764","X1"
"CR_16772","X1"
"CR_137369","X1"
"CR_157853","X1"
"CR_48196","X1"
"CR_172072","X1"
"CR_110650","X1"
"CR_135741","X1"
"CR_118830","X1"
"CR_197890","X0"
"CR_127112","X1"
"CR_103153","X1"
"CR_126305","X1"
"CR_164868","X1"
"CR_169319","X1"
"CR_24336","X1"
"CR_108491","X1"
"CR_182421","X1"
"CR_171098","X1"
"CR_141601","X1"
"CR_57375","X1"
"CR_181581","X1"
"CR_190531","X1"
"CR_36060","X1"
"CR_24617","X1"
"CR_57414","X1"
"CR_103779","X1"
"CR_169274","X1"
"CR_18842","X1"
"CR_80988","X1"
"CR_192638","X1"
"CR_192720","X1"
"CR_56860","X1"
"CR_30084","X1"
"CR_1027","X1"
"CR_68209","X1"
"CR_152909","X1"
"CR_188237","X1"
"CR_1305","X1"
"CR_120906","X1"
"CR_159219","X1"
"CR_146952","X1"
"CR_128604","X0"
"CR_96594","X1"
"CR_184785","X1"
"CR_62664","X1"
"CR_189600","X1"
"CR_55388","X1"
"CR_140003","X1"
"CR_170506","X1"
"CR_56219","X1"
"CR_182232","X1"
"CR_115398","X1"
"CR_188702","X1"
"CR_14653","X1"
"CR_19927","X1"
"CR_40513","X1"
"CR_136996","X1"
"CR_144126","X1"
"CR_176564","X1"
"CR_54927","X1"
"CR_76926","X1"
"CR_147878","X1"
"CR_126734","X1"
"CR_67238","X1"
"CR_90939","X1"
"CR_64117","X1"
"CR_24966","X1"
"CR_30064","X1"
"CR_25070","X1"
"CR_118631","X1"
"CR_89651","X1"
"CR_153839","X1"
"CR_136367","X1"
"CR_141051","X1"
"CR_178884","X1"
"CR_18557","X1"
"CR_19494","X1"
"CR_156676","X1"
"CR_198463","X1"
"CR_133472","X1"
"CR_78317","X1"
"CR_41650","X1"
"CR_119220","X1"
"CR_79735","X1"
"CR_182226","X1"
"CR_4152","X1"
"CR_87430","X1"
"CR_78822","X1"
"CR_127021","X1"
"CR_37457","X1"
"CR_169096","X1"
"CR_23276","X1"
"CR_158474","X1"
"CR_45260","X1"
"CR_58693","X1"
"CR_175060","X1"
"CR_85007","X1"
"CR_103386","X1"
"CR_144148","X1"
"CR_8218","X1"
"CR_196887","X0"
"CR_68229","X1"
"CR_63084","X1"
"CR_86572","X1"
"CR_77036","X1"
"CR_172195","X0"
"CR_32176","X1"
"CR_142460","X1"
"CR_75598","X1"
"CR_110226","X1"
"CR_58035","X1"
"CR_76537","X1"
"CR_31098","X1"
"CR_26347","X1"
"CR_142788","X1"
"CR_156444","X1"
"CR_145548","X1"
"CR_122133","X1"
"CR_184486","X1"
"CR_66021","X1"
"CR_44387","X1"
"CR_58333","X1"
"CR_112216","X1"
"CR_162845","X1"
"CR_63377","X1"
"CR_155243","X1"
"CR_130619","X0"
"CR_16550","X1"
"CR_183084","X1"
"CR_91052","X1"
"CR_34802","X1"
"CR_159126","X1"
"CR_97738","X1"
"CR_38360","X1"
"CR_164203","X1"
"CR_14799","X1"
"CR_154941","X1"
"CR_98260","X1"
"CR_118175","X1"
"CR_93034","X1"
"CR_196464","X1"
"CR_78806","X1"
"CR_118887","X1"
"CR_84121","X1"
"CR_44310","X1"
"CR_108042","X1"
"CR_113106","X1"
"CR_57625","X1"
"CR_160565","X1"
"CR_112597","X1"
"CR_91017","X1"
"CR_122112","X1"
"CR_112260","X1"
"CR_182543","X1"
"CR_91656","X1"
"CR_52636","X1"
"CR_67924","X1"
"CR_65565","X1"
"CR_20932","X1"
"CR_159196","X1"
"CR_149038","X1"
"CR_192446","X1"
"CR_4563","X1"
"CR_155167","X1"
"CR_69015","X1"
"CR_4319","X1"
"CR_70025","X1"
"CR_78019","X1"
"CR_59815","X1"
"CR_4634","X1"
"CR_39788","X1"
"CR_78654","X1"
"CR_168873","X1"
"CR_159220","X1"
"CR_173228","X1"
"CR_164385","X1"
"CR_39591","X1"
"CR_152149","X1"
"CR_88641","X1"
"CR_95077","X1"
"CR_121523","X0"
"CR_86172","X1"
"CR_169407","X1"
"CR_34215","X1"
"CR_65332","X1"
"CR_170403","X1"
"CR_52342","X1"
"CR_146244","X1"
"CR_96297","X1"
"CR_183123","X1"
"CR_84662","X1"
"CR_47016","X1"
"CR_178826","X1"
"CR_48610","X1"
"CR_61526","X1"
"CR_65426","X1"
"CR_37791","X1"
"CR_35858","X1"
"CR_114941","X1"
"CR_185271","X1"
"CR_50202","X1"
"CR_172807","X1"
"CR_147784","X0"
"CR_33591","X1"
"CR_103888","X1"
"CR_12224","X1"
"CR_130842","X1"
"CR_100397","X1"
"CR_82452","X1"
"CR_108528","X1"
"CR_176252","X1"
"CR_61149","X1"
"CR_113899","X0"
"CR_129398","X1"
"CR_97913","X1"
"CR_126094","X1"
"CR_35136","X1"
"CR_181459","X0"
"CR_118397","X1"
"CR_124003","X1"
"CR_78978","X1"
"CR_193531","X1"
"CR_39508","X1"
"CR_79546","X1"
"CR_31784","X1"
"CR_168802","X1"
"CR_102971","X0"
"CR_21872","X1"
"CR_138231","X1"
"CR_49288","X1"
"CR_100593","X1"
"CR_48357","X1"
"CR_190338","X1"
"CR_86991","X1"
"CR_195941","X1"
"CR_10375","X1"
"CR_164312","X1"
"CR_97219","X1"
"CR_145089","X1"
"CR_43380","X1"
"CR_144225","X1"
"CR_102376","X1"
"CR_110969","X1"
"CR_86192","X1"
"CR_126351","X1"
"CR_5566","X1"
"CR_181113","X1"
"CR_111873","X1"
"CR_21440","X1"
"CR_62389","X1"
"CR_131545","X1"
"CR_123127","X1"
"CR_192490","X1"
"CR_64371","X0"
"CR_23728","X1"
"CR_66245","X1"
"CR_32426","X1"
"CR_23427","X1"
"CR_17236","X1"
"CR_23160","X1"
"CR_18293","X0"
"CR_107271","X1"
"CR_1083","X1"
"CR_69669","X1"
"CR_48466","X1"
"CR_28383","X1"
"CR_188286","X1"
"CR_57419","X1"
"CR_46158","X1"
"CR_53296","X1"
"CR_145571","X1"
"CR_17069","X1"
"CR_131856","X1"
"CR_72990","X1"
"CR_147895","X1"
"CR_14180","X1"
"CR_23580","X1"
"CR_105528","X1"
"CR_33731","X1"
"CR_161968","X1"
"CR_80370","X1"
"CR_67413","X1"
"CR_25509","X1"
"CR_167263","X1"
"CR_8078","X1"
"CR_20947","X1"
"CR_192492","X1"
"CR_46929","X1"
"CR_162517","X1"
"CR_55755","X1"
"CR_97135","X1"
"CR_123532","X1"
"CR_46895","X1"
"CR_56097","X1"
"CR_109319","X1"
"CR_9862","X1"
"CR_102722","X1"
"CR_37617","X1"
"CR_40895","X1"
"CR_117513","X1"
"CR_108707","X1"
